rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
105,1,18,@T_18_97212013,97,21,1,1,,2013,-0,-0,-0,-0,-2,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1660,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,2
106,1,18,@T_18_9732013,97,3,1,1,,2013,-0,-0,-0,-0,-0.5,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,415,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,0.5
107,1,18,@T_18_97332013,97,33,1,1,,2013,-0,-0,-0,-0,-0,-1,-2,-1,-0,-0,-0,-0,,,0,EUR,0,0,3320,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,4
108,1,18,@T_18_97392013,97,39,1,1,,2013,-0,-0,-0,-2,-4,-4,-2,-0,-2,-0,-0,-0,,,0,EUR,0,0,11620,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,14
109,1,18,@T_18_97482013,97,48,1,1,,2013,-0,-0,-0,-0,-0.5,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,415,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,0.5
110,1,18,@T_18_97502013,97,50,1,1,,2013,-0,-0,-0,-0,-0.5,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,415,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,0.5
111,1,19,@A_19_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1061.88,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
112,1,19,@T_19_9712013,97,1,1,1,,2013,-0,-0,-0,-4,-8,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,9960,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,12
113,1,19,1a59e9d1-a159-4098-a9e5-db6f94003d94,97,0,1,31,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,EUR,830,0,0,0,0,0,,2013-12-10 ,1,2013-12-10 ,1,,,,
114,1,19,9e18a44c-609a-4db3-b5d1-e9c4b7373e7c,152,0,2,26,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XOF,0,0,0,0,0,0,,2013-12-10 ,1,2013-12-10 ,1,,,,
115,1,20,@A_20_2102013,210,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,118.38,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
116,1,20,@T_20_97332013,97,33,1,1,,2013,-0,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
117,1,20,@T_20_97472013,97,47,1,1,,2013,-0,-0,-0,-0,-0,-0,-3,-3,-1,-0,-0,-0,,,0,EUR,0,0,5810,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,7
118,1,21,@A_21_2052013,205,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,276.5,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
119,1,21,@A_21_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,3967.3700000000003,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
120,1,21,@A_21_2062014,206,,25,86,,2014,,,,,,,,,,,,,,,0,EUR,0,0,94.16999999999999,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
